time,signal
1.4040000000000001,-0.24333333333333126
1.408,-0.225
1.412,-0.2183333333333338
1.416,-0.2016666666666668
1.42,-0.2266666666666658
1.424,-0.2733333333333324
1.428,-0.275
1.432,-0.2500000000000005
1.436,-0.22
1.44,-0.2183333333333327
1.444,-0.26
1.448,-0.2633333333333335
1.452,-0.2400000000000007
1.456,-0.185
1.46,-0.1799999999999992
1.464,-0.19
1.468,-0.1675000000000008
1.472,-0.145
1.476,-0.148333333333333
1.48,-0.1583333333333332
1.484,-0.1466666666666669
1.488,-0.1366666666666668
1.492,-0.13
1.496,-0.1499999999999996
1.5,-0.17
1.504,-0.1583333333333332
1.508,-0.165
1.512,-0.17
1.516,-0.1666666666666665
1.52,-0.1449999999999992
1.524,-0.1283333333333334
1.528,-0.17
1.532,-0.2125000000000008
1.536,-0.21
1.54,-0.1983333333333335
1.544,-0.21
1.548,-0.201666666666666
1.552,-0.178333333333333
1.556,-0.18
1.56,-0.1983333333333334
1.564,-0.215
1.568,-0.2299999999999994
1.572,-0.21
1.576,-0.2316666666666671
1.58,-0.245
1.584,-0.2516666666666668
1.588,-0.248333333333333
1.592,-0.27
1.596,-0.2566666666666661
1.6,-0.255
1.604,-0.2349999999999992
1.608,-0.215
1.612,-0.2533333333333339
1.616,-0.2833333333333338
1.62,-0.2699999999999988
1.624,-0.2366666666666665
1.6280000000000001,-0.2550000000000039
1.6320000000000001,-0.2975000000000029
1.6360000000000001,-0.3049999999999946
1.6400000000000001,-0.261666666666666
1.6440000000000001,-0.26000000000000467
1.6480000000000001,-0.30500000000000294
1.6520000000000001,-0.31833333333332914
1.6560000000000001,-0.26500000000000207
1.6600000000000001,-0.29333333333333733
1.6640000000000001,-0.33499999999999946
1.668,-0.3250000000000011
1.672,-0.295
1.676,-0.293333333333333
1.68,-0.3066666666666664
1.684,-0.3066666666666669
1.688,-0.2966666666666668
1.692,-0.285
1.696,-0.3033333333333328
1.7,-0.32
1.704,-0.2950000000000004
1.708,-0.295
1.712,-0.3066666666666661
1.716,-0.336666666666666
1.72,-0.2983333333333334
1.724,-0.2983333333333332
1.728,-0.305
1.732,-0.3099999999999994
1.736,-0.31
1.74,-0.2933333333333334
1.744,-0.32
1.748,-0.3116666666666665
1.752,-0.2949999999999992
1.756,-0.27
1.76,-0.2716666666666669
1.764,-0.28
1.768,-0.3175000000000019
1.772,-0.325
1.776,-0.325
1.78,-0.3283333333333335
1.784,-0.3299999999999993
1.788,-0.2999999999999996
1.792,-0.29
1.796,-0.2833333333333331
1.8,-0.275
1.804,-0.2666666666666664
1.808,-0.27
1.812,-0.3000000000000004
1.816,-0.31
1.82,-0.2883333333333328
1.824,-0.2816666666666669
1.828,-0.315
1.832,-0.3124999999999997
1.836,-0.295
1.84,-0.28
1.844,-0.285
1.848,-0.2916666666666668
1.852,-0.288333333333333
1.856,-0.285
1.86,-0.2700000000000004
1.864,-0.29
1.868,-0.2825000000000003
1.872,-0.235
1.8760000000000001,-0.2016666666666641
1.8800000000000001,-0.17833333333333048
1.8840000000000001,-0.13666666666666227
1.8880000000000001,-0.09333333333332831
1.8920000000000001,-0.024999999999990332
1.8960000000000001,0.04833333333333509
1.9000000000000001,0.04999999999999674
1.9040000000000001,0.018333333333328084
1.9080000000000001,-0.04500000000000684
1.9120000000000001,-0.10166666666666815
1.9160000000000001,-0.11166666666666594
1.92,-0.1033333333333338
1.924,-0.0966666666666664
1.928,-0.135
1.932,-0.2024999999999975
1.936,-0.24
1.94,-0.2383333333333327
1.944,-0.285
1.948,-0.31
1.952,-0.2900000000000007
1.956,-0.26
1.96,-0.2799999999999996
1.964,-0.32
1.968,-0.3100000000000011
1.972,-0.26
1.976,-0.2766666666666658
1.98,-0.3466666666666649
1.984,-0.4266666666666658
1.988,-0.4400000000000004
1.992,-0.345
1.996,0.1433333333333232
2.0,0.79
2.004,1.41
2.008,1.865
2.012,2.006666666666667
2.016,1.9899999999999969
2.02,1.6833333333333331
2.024,1.0133333333333017
2.028,0.16
2.032,-0.61
2.036,-0.535
2.04,-0.3466666666666667
2.044,-0.36
2.048,-0.3816666666666666
2.052,-0.3483333333333321
2.056,-0.295
2.06,-0.3500000000000022
2.064,-0.42
2.068,-0.4175
2.072,-0.395
2.076,-0.3983333333333334
2.08,-0.4116666666666672
2.084,-0.4166666666666666
2.088,-0.3999999999999992
2.092,-0.405
2.096,-0.4116666666666672
2.1,-0.4
2.104,-0.3666666666666666
2.108,-0.355
2.112,-0.3733333333333333
2.116,-0.39
2.12,-0.3616666666666667
2.124,-0.3283333333333328
2.128,-0.34
2.132,-0.3675000000000005
2.136,-0.34
2.14,-0.3099999999999985
2.144,-0.31
2.148,-0.3033333333333328
2.152,-0.2933333333333328
2.156,-0.265
